"mechanism_id","source_clause_id","mechanism_family","jurisdiction_scope","normalized_mechanism","negative_condition","final_predicate_count","planned_first_predicate_id","planned_last_predicate_id","independent_condition_summary","decision_basis","count_decision","review_status"
"US-CM-000260","US-AM-ATOM-000044","F3","UNITED-STATES/PRESIDENTIAL-ELECTION/SENATE/CONTINGENT-SELECTION","The Constitution establishes this scoped selection procedure: if no person has a majority for Vice-President, the Senate shall choose the Vice-President from the two highest numbers on the list.","The Senate contingent-selection procedure is not established unless no person has the required majority and the selection is confined to the two highest numbers on the Vice-Presidential list.","3","US-CP-000506","US-CP-000508","no-majority trigger; Senate as selection actor; candidate pool limited to two highest","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000261","US-AM-ATOM-000044","F4","UNITED-STATES/PRESIDENTIAL-ELECTION/SENATE/CONTINGENT-SELECTION","The Constitution establishes this quorum rule: a quorum for the Senate's contingent choice of Vice-President shall consist of two-thirds of the whole number of Senators.","The Senate contingent Vice-Presidential choice is not established under this quorum mechanism when fewer than two-thirds of the whole number of Senators constitute the quorum.","1","US-CP-000509","US-CP-000509","single source-bounded independently testable condition represented by the frozen mechanism","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000262","US-AM-ATOM-000044","F4","UNITED-STATES/PRESIDENTIAL-ELECTION/SENATE/CONTINGENT-SELECTION","The Constitution establishes this concurrence threshold: a majority of the whole number of Senators is necessary to choose the Vice-President in the Senate contingent procedure.","The Senate contingent Vice-Presidential choice is not established under this threshold mechanism without a majority of the whole number of Senators.","1","US-CP-000510","US-CP-000510","single source-bounded independently testable condition represented by the frozen mechanism","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000263","US-AM-ATOM-000045","F3","UNITED-STATES/VICE-PRESIDENT/ELIGIBILITY","The Constitution establishes this scoped power, duty, qualification, or procedural rule: But no person constitutionally ineligible to the office of President shall be eligible to that of Vice-President of the United States.","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","1","US-CP-000511","US-CP-000511","single source-bounded independently testable condition represented by the frozen mechanism","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000264","US-AM-ATOM-000046","F5","UNITED-STATES/SLAVERY/PROHIBITION","The Constitution establishes this prohibition, right-protection, or negative constraint: Neither slavery","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","1","US-CP-000512","US-CP-000512","single source-bounded independently testable condition represented by the frozen mechanism","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000265","US-AM-ATOM-000047","F5","UNITED-STATES/INVOLUNTARY-SERVITUDE/PROHIBITION-EXCEPTION","The Constitution establishes this prohibition, right-protection, or negative constraint: nor involuntary servitude, except as a punishment for crime whereof the party shall have been duly convicted, shall exist within the United States, or any place subject to their jurisdiction.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","3","US-CP-000513","US-CP-000515","involuntary-servitude prohibition; crime-punishment exception requires due conviction; United States/subject-jurisdiction territorial scope","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000266","US-AM-ATOM-000048","F3","UNITED-STATES/CONGRESS/AMENDMENT-13/ENFORCEMENT","The Constitution establishes this scoped power, duty, qualification, or procedural rule: Congress shall have power to enforce this article by appropriate legislation.","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","2","US-CP-000516","US-CP-000517","Congressional enforcement authority; appropriate-legislation limitation","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000267","US-AM-ATOM-000049","F6","UNITED-STATES/CITIZENSHIP/BIRTH-NATURALIZATION","The Constitution establishes this jurisdictional, federalism, status, or allocation boundary: All persons born or naturalized in the United States, and subject to the jurisdiction thereof, are citizens of the United States and of the State wherein they reside.","The constitutional effect is not established outside the source-defined jurisdiction, status, allocation, or federalism boundary.","4","US-CP-000518","US-CP-000521","birth-or-naturalization basis; United States locus; subject-to-jurisdiction condition; United States and resident-State citizenship consequence","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000268","US-AM-ATOM-000050","F5","UNITED-STATES/STATES/PRIVILEGES-IMMUNITIES","The Constitution establishes this prohibition, right-protection, or negative constraint: No State shall make or enforce any law which shall abridge the privileges or immunities of citizens of the United States","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","2","US-CP-000522","US-CP-000523","State make-or-enforce-law actor condition; abridgment of privileges-or-immunities prohibition","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000269","US-AM-ATOM-000051","F5","UNITED-STATES/STATES/DUE-PROCESS","The Constitution establishes this prohibition, right-protection, or negative constraint: nor shall any State deprive any person of life, liberty, or property, without due process of law","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","2","US-CP-000524","US-CP-000525","State deprivation of life/liberty/property; due-process prerequisite","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000270","US-AM-ATOM-000052","F5","UNITED-STATES/STATES/EQUAL-PROTECTION","The Constitution establishes this prohibition, right-protection, or negative constraint: nor deny to any person within its jurisdiction the equal protection of the laws.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","2","US-CP-000526","US-CP-000527","person within State jurisdiction; equal-protection non-denial","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000271","US-AM-ATOM-000053","F6","UNITED-STATES/STATES/REPRESENTATION/APPORTIONMENT","The Constitution establishes this jurisdictional, federalism, status, or allocation boundary: Representatives shall be apportioned among the several States according to their respective numbers, counting the whole number of persons in each State, excluding Indians not taxed.","The constitutional effect is not established outside the source-defined jurisdiction, status, allocation, or federalism boundary.","3","US-CP-000528","US-CP-000530","apportionment among States by respective numbers; whole-person count rule; source-stated exclusion","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000272","US-AM-ATOM-000054","F6","UNITED-STATES/STATES/REPRESENTATION/VOTING-ABRIDGMENT-REDUCTION","The Constitution establishes this jurisdictional, federalism, status, or allocation boundary: But when the right to vote at any election for the choice of electors for President and Vice-President of the United States, Representatives in Congress, the Executive and Judicial officers of a State, or the members of the Legislature thereof, is denied to any of the male inhabitants of such State, being twenty-one years of age,* and citizens of the United States, or in any way abridged, except for participation in rebellion, or other crime, the basis of representation therein shall be reduced in the proportion which the number of such male citizens shall bear to the whole number of male citizens twenty-one years of age in such State.","The constitutional effect is not established outside the source-defined jurisdiction, status, allocation, or federalism boundary.","5","US-CP-000531","US-CP-000535","covered voting denial-or-abridgment trigger; covered voter qualifications; source-stated rebellion/crime exception; representation-basis reduction; proportional reduction formula","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000273","US-AM-ATOM-000055","F5","UNITED-STATES/OFFICE/INSURRECTION-DISABILITY","The Constitution establishes this prohibition, right-protection, or negative constraint: No person shall be a Senator or Representative in Congress, or elector of President and Vice-President, or hold any office, civil or military, under the United States, or under any State, who, having previously taken an oath, as a member of Congress, or as an officer of the United States, or as a member of any State legislature, or as an executive or judicial officer of any State, to support the Constitution of the United States, shall have engaged in insurrection or rebellion against the same, or given aid or comfort to the enemies thereof.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","4","US-CP-000536","US-CP-000539","prior qualifying oath/status; covered office/elector target; insurrection-or-rebellion engagement or aid/comfort condition; resulting disqualification","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000274","US-AM-ATOM-000056","F4","UNITED-STATES/CONGRESS/INSURRECTION-DISABILITY/REMOVAL","The Constitution establishes this concurrence, quorum, majority, or threshold rule: But Congress may by a vote of two-thirds of each House, remove such disability.","The constitutional effect is not established unless the source-defined concurrence, quorum, majority, or threshold condition is satisfied.","2","US-CP-000540","US-CP-000541","Congress as removal actor; two-thirds vote of each House","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000275","US-AM-ATOM-000057","F5","UNITED-STATES/PUBLIC-DEBT/VALIDITY","The Constitution establishes this prohibition, right-protection, or negative constraint: The validity of the public debt of the United States, authorized by law, including debts incurred for payment of pensions and bounties for services in suppressing insurrection or rebellion, shall not be questioned.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","2","US-CP-000542","US-CP-000543","covered United States public debt authorized by law; validity shall not be questioned","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000276","US-AM-ATOM-000058","F5","UNITED-STATES/INSURRECTION-DEBT/PAYMENT-PROHIBITION","The Constitution establishes this prohibition, right-protection, or negative constraint: But neither the United States nor any State shall assume or pay any debt or obligation incurred in aid of insurrection or rebellion against the United States","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","2","US-CP-000544","US-CP-000545","United States-or-State actor; debt/obligation incurred in aid of insurrection or rebellion may not be assumed or paid","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000277","US-AM-ATOM-000059","F5","UNITED-STATES/SLAVE-LOSS-CLAIMS/INVALIDITY","The Constitution establishes this prohibition, right-protection, or negative constraint: or any claim for the loss or emancipation of any slave; but all such debts, obligations and claims shall be held illegal and void.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","2","US-CP-000546","US-CP-000547","covered loss/emancipation claim; debts/obligations/claims held illegal and void","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000278","US-AM-ATOM-000060","F3","UNITED-STATES/CONGRESS/AMENDMENT-14/ENFORCEMENT","The Constitution establishes this scoped power, duty, qualification, or procedural rule: The Congress shall have power to enforce, by appropriate legislation, the provisions of this article.","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","2","US-CP-000548","US-CP-000549","Congressional enforcement authority; appropriate-legislation limitation","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000279","US-AM-ATOM-000061","F5","UNITED-STATES/VOTING/RACE-COLOR-SERVITUDE","The Constitution establishes this prohibition, right-protection, or negative constraint: The right of citizens of the United States to vote shall not be denied or abridged by the United States or by any State on account of race, color, or previous condition of servitude--","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","3","US-CP-000550","US-CP-000552","citizen voting right; United States-or-State actor; race/color/previous-servitude prohibited basis","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000280","US-AM-ATOM-000062","F3","UNITED-STATES/CONGRESS/AMENDMENT-15/ENFORCEMENT","The Constitution establishes this scoped power, duty, qualification, or procedural rule: The Congress shall have power to enforce this article by appropriate legislation.","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","2","US-CP-000553","US-CP-000554","Congressional enforcement authority; appropriate-legislation limitation","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000281","US-AM-ATOM-000063","F3","UNITED-STATES/CONGRESS/INCOME-TAX","The Constitution establishes this scoped power, duty, qualification, or procedural rule: The Congress shall have power to lay and collect taxes on incomes, from whatever source derived, without apportionment among the several States, and without regard to any census or enumeration.","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","4","US-CP-000555","US-CP-000558","income-tax authority; income from whatever source; no apportionment requirement; no census/enumeration condition","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000282","US-AM-ATOM-000064","F2","UNITED-STATES/SENATE/STATE-REPRESENTATION","The Constitution establishes this institutional structure or separation rule: The Senate of the United States shall be composed of two Senators from each State","Institutional structure or allocation is not established where the source-defined composition, separation, or role boundary is not satisfied.","2","US-CP-000559","US-CP-000560","Senate composition by States; two Senators per State","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000283","US-AM-ATOM-000065","F1","UNITED-STATES/SENATE/POPULAR-ELECTION","The Constitution establishes this authority, succession, or office-transition rule: elected by the people thereof","Authority, succession, or office effect is not established outside the actor, trigger, scope, or transition stated by this source.","1","US-CP-000561","US-CP-000561","single source-bounded independently testable condition represented by the frozen mechanism","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000284","US-AM-ATOM-000066","F3","UNITED-STATES/SENATE/TERM","The Constitution establishes this scoped power, duty, qualification, or procedural rule: for six years","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","1","US-CP-000562","US-CP-000562","single source-bounded independently testable condition represented by the frozen mechanism","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000285","US-AM-ATOM-000067","F2","UNITED-STATES/SENATE/MEMBER-VOTE","The Constitution establishes this institutional structure or separation rule: and each Senator shall have one vote","Institutional structure or allocation is not established where the source-defined composition, separation, or role boundary is not satisfied.","1","US-CP-000563","US-CP-000563","single source-bounded independently testable condition represented by the frozen mechanism","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000286","US-AM-ATOM-000068","F3","UNITED-STATES/SENATE/ELECTOR-QUALIFICATIONS","The Constitution establishes this scoped power, duty, qualification, or procedural rule: The electors in each State shall have the qualifications requisite for electors of the most numerous branch of the State legislatures.","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","2","US-CP-000564","US-CP-000565","State elector population; qualifications tied to most numerous branch of State legislature","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000287","US-AM-ATOM-000069","F1","UNITED-STATES/SENATE/VACANCIES/ELECTION-WRITS","The Constitution establishes this authority, succession, or office-transition rule: When vacancies happen in the representation of any State in the Senate, the executive authority of such State shall issue writs of election to fill such vacancies","Authority, succession, or office effect is not established outside the actor, trigger, scope, or transition stated by this source.","3","US-CP-000566","US-CP-000568","Senate-vacancy trigger; State executive as actor; writ-of-election duty","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000288","US-AM-ATOM-000070","F3","UNITED-STATES/SENATE/VACANCIES/TEMPORARY-APPOINTMENTS","The Constitution establishes this scoped power, duty, qualification, or procedural rule: Provided, That the legislature of any State may empower the executive thereof to make temporary appointments until the people fill the vacancies by election as the legislature may direct.","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","4","US-CP-000569","US-CP-000572","State legislature empowerment; executive temporary-appointment authority; temporary duration until popular election; election conducted as legislature directs","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000289","US-AM-ATOM-000071","F7","UNITED-STATES/SENATE/AMENDMENT-17/TRANSITION","The Constitution establishes this controlled constitutional transition, effectiveness, repeal, or temporal rule: This amendment shall not be so construed as to affect the election or term of any Senator chosen before it becomes valid as part of the Constitution.","The constitutional transition, effectiveness, repeal, or temporal effect is not established outside the source-defined trigger, timing, or transition condition.","2","US-CP-000573","US-CP-000574","pre-validity Senator election/term status; amendment non-effect on that election or term","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000290","US-AM-ATOM-000072|US-AM-ATOM-000073|US-AM-ATOM-000074|US-AM-ATOM-000075|US-AM-ATOM-000076","F5","UNITED-STATES/INTOXICATING-LIQUOR/PROHIBITED-OPERATIONS","The Constitution establishes this prohibition: after one year from ratification, the manufacture, sale, or transportation of intoxicating liquors within, and the importation into or exportation from, the United States and territory subject to its jurisdiction for beverage purposes is prohibited.","The prohibited-operation effect is not established outside the source-defined one-year effectiveness trigger, intoxicating-liquor subject, beverage-purpose limitation, enumerated operations, and territorial scope.","4","US-CP-000575","US-CP-000578","one-year-after-ratification trigger; covered liquor operations; covered United States/territory jurisdiction; beverage-purpose limitation","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000291","US-AM-ATOM-000077","F3","UNITED-STATES/FEDERAL-STATE/AMENDMENT-18/ENFORCEMENT","The Constitution establishes this scoped power, duty, qualification, or procedural rule: The Congress and the several States shall have concurrent power to enforce this article by appropriate legislation.","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","3","US-CP-000579","US-CP-000581","Congress and several States as concurrent actors; enforcement of article; appropriate-legislation limitation","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000292","US-AM-ATOM-000078","F7","UNITED-STATES/CONSTITUTION/AMENDMENT-18/RATIFICATION-TIME-LIMIT","The Constitution establishes this controlled constitutional transition, effectiveness, repeal, or temporal rule: This article shall be inoperative unless it shall have been ratified as an amendment to the Constitution by the legislatures of the several States, as provided in the Constitution, within seven years from the date of the submission hereof to the States by the Congress.","The constitutional transition, effectiveness, repeal, or temporal effect is not established outside the source-defined trigger, timing, or transition condition.","4","US-CP-000582","US-CP-000585","inoperative-unless-ratified condition; State-legislature ratification mode; constitutional ratification framework; seven-year deadline from submission","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000293","US-AM-ATOM-000079","F5","UNITED-STATES/VOTING/SEX","The Constitution establishes this prohibition, right-protection, or negative constraint: The right of citizens of the United States to vote shall not be denied or abridged by the United States or by any State on account of sex.","An action or effect contrary to the source-defined prohibition, protected right, or negative constraint is not constitutionally established under this mechanism.","3","US-CP-000586","US-CP-000588","citizen voting right; United States-or-State actor; sex prohibited basis","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000294","US-AM-ATOM-000080","F3","UNITED-STATES/CONGRESS/AMENDMENT-19/ENFORCEMENT","The Constitution establishes this scoped power, duty, qualification, or procedural rule: Congress shall have power to enforce this article by appropriate legislation.","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","2","US-CP-000589","US-CP-000590","Congressional enforcement authority; appropriate-legislation limitation","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000295","US-AM-ATOM-000081","F7","UNITED-STATES/PRESIDENCY/TERM-END","The Constitution establishes this controlled constitutional transition, effectiveness, repeal, or temporal rule: The terms of the President and Vice President shall end at noon on the 20th day of January","The constitutional transition, effectiveness, repeal, or temporal effect is not established outside the source-defined trigger, timing, or transition condition.","2","US-CP-000591","US-CP-000592","President-and-Vice-President term endpoint; noon on January 20 temporal boundary","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000296","US-AM-ATOM-000082","F7","UNITED-STATES/CONGRESS/TERM-END","The Constitution establishes this controlled constitutional transition, effectiveness, repeal, or temporal rule: and the terms of Senators and Representatives at noon on the 3d day of January, of the years in which such terms would have ended if this article had not been ratified","The constitutional transition, effectiveness, repeal, or temporal effect is not established outside the source-defined trigger, timing, or transition condition.","3","US-CP-000593","US-CP-000595","Senator-and-Representative term endpoint; noon on January 3; applies in years terms otherwise would have ended","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000297","US-AM-ATOM-000083","F7","UNITED-STATES/FEDERAL-OFFICE/SUCCESSOR-TERM-BEGIN","The Constitution establishes this controlled constitutional transition, effectiveness, repeal, or temporal rule: and the terms of their successors shall then begin.","The constitutional transition, effectiveness, repeal, or temporal effect is not established outside the source-defined trigger, timing, or transition condition.","1","US-CP-000596","US-CP-000596","single source-bounded independently testable condition represented by the frozen mechanism","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000298","US-AM-ATOM-000084","F3","UNITED-STATES/CONGRESS/ANNUAL-ASSEMBLY","The Constitution establishes this scoped power, duty, qualification, or procedural rule: The Congress shall assemble at least once in every year","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","2","US-CP-000597","US-CP-000598","Congress assembly duty; at-least-once-each-year frequency","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000299","US-AM-ATOM-000085","F3","UNITED-STATES/CONGRESS/ASSEMBLY-DATE","The Constitution establishes this scoped power, duty, qualification, or procedural rule: and such meeting shall begin at noon on the 3d day of January, unless they shall by law appoint a different day.","The scoped power, duty, qualification, or procedure is not established outside the conditions and limits stated by this source.","3","US-CP-000599","US-CP-000601","default meeting time noon January 3; Congress may set different day by law; statutory exception controls departure from default","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000300","US-AM-ATOM-000086","F1","UNITED-STATES/PRESIDENCY/SUCCESSION/PRESIDENT-ELECT-DEATH","The Constitution establishes this authority, succession, or office-transition rule: If, at the time fixed for the beginning of the term of the President, the President elect shall have died, the Vice President elect shall become President","Authority, succession, or office effect is not established outside the actor, trigger, scope, or transition stated by this source.","3","US-CP-000602","US-CP-000604","President-elect death trigger at term start; Vice-President-elect identity; succession to President","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
"US-CM-000301","US-AM-ATOM-000087","F1","UNITED-STATES/PRESIDENCY/SUCCESSION/PRESIDENT-ELECT-NOT-QUALIFIED","The Constitution establishes this authority, succession, or office-transition rule: If a President shall not have been chosen before the time fixed for the beginning of his term, or if the President elect shall have failed to qualify, then the Vice President elect shall act as President until a President shall have qualified","Authority, succession, or office effect is not established outside the actor, trigger, scope, or transition stated by this source.","3","US-CP-000605","US-CP-000607","no-President-chosen or President-elect-failed-to-qualify trigger; Vice-President-elect acts as President; acting period lasts until President qualifies","Count adjudicated from the frozen mechanism's independently testable source-bounded conditions; structural cues were used only as review aids. No case law, external doctrine, ORYNTH mapping, correspondence grade, or proof binding was introduced.","FINAL","ADJUDICATED-PRE-GENERATION"
